INFO   | jvm 1    | 2018/09/08 21:28:14 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/09/08 21:28:14 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/09/08 21:28:14 | 
INFO   | jvm 1    | 2018/09/08 21:28:15 | 2018-09-08 21:28:15.147:WARN:oejd.ContextDeployer:ContextDeployer is deprecated. Use ContextProvider
INFO   | jvm 1    | 2018/09/08 21:28:15 | 2018-09-08 21:28:15.152:WARN:oejd.WebAppDeployer:WebAppDeployer is deprecated. Use WebAppProvider
INFO   | jvm 1    | 2018/09/08 21:28:15 | 2018-09-08 21:28:15.208:INFO:oejs.Server:jetty-8.1.14.v20131031
INFO   | jvm 1    | 2018/09/08 21:28:15 | 2018-09-08 21:28:15.230:INFO:oejs.NCSARequestLog:Opened C:\Users\elvis\Applications\Artifactory\archiva\logs\request-20180909.log
INFO   | jvm 1    | 2018/09/08 21:28:15 | 2018-09-08 21:28:15.259:INFO:oejd.ContextDeployer:Deploy C:\Users\elvis\Applications\Artifactory\archiva\contexts\archiva.xml -> o.e.j.w.WebAppContext{/,null},C:\Users\elvis\Applications\Artifactory\archiva/apps/archiva
INFO   | jvm 1    | 2018/09/08 21:28:19 | 2018-09-08 21:28:19.261:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2018/09/08 21:28:19 | 2018-09-08 21:28:19.440:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2018/09/08 21:28:20 | 2018-09-08 21:28:20.348:INFO:/:Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/09/08 21:28:25 | Sep 08, 2018 9:28:25 PM org.apache.tomcat.jdbc.pool.ConnectionPool init
INFO   | jvm 1    | 2018/09/08 21:28:25 | WARNING: maxIdle is larger than maxActive, setting maxIdle to: 30
INFO   | jvm 1    | 2018/09/08 21:28:29 | 2018-09-08 21:28:28.947:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:9090
INFO   | jvm 1    | 2018/09/08 21:39:22 | 2018-09-08 21:39:22.140:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:9090
INFO   | jvm 1    | 2018/09/08 21:39:22 | 2018-09-08 21:39:22.142:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/C:/Users/elvis/Applications/Artifactory/archiva/apps/archiva/},C:\Users\elvis\Applications\Artifactory\archiva/apps/archiva
INFO   | jvm 1    | 2018/09/08 21:39:23 | 2018-09-08 21:39:23.283:INFO:/:Closing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/09/08 21:39:23 | 2018-09-08 21:39:23.341:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/C:/Users/elvis/Applications/Artifactory/archiva/apps/archiva/},C:\Users\elvis\Applications\Artifactory\archiva/apps/archiva
INFO   | jvm 1    | 2018/09/08 21:39:23 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=128m; support was removed in 8.0
STATUS | wrapper  | 2018/09/08 21:39:23 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/09/08 21:39:26 | --> Wrapper Started as Service
STATUS | wrapper  | 2018/09/08 21:39:27 | Launching a JVM...
INFO   | jvm 1    | 2018/09/08 21:39:27 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/09/08 21:39:27 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/09/08 21:39:27 | 
INFO   | jvm 1    | 2018/09/08 21:39:27 | 2018-09-08 21:39:27.841:WARN:oejd.ContextDeployer:ContextDeployer is deprecated. Use ContextProvider
INFO   | jvm 1    | 2018/09/08 21:39:27 | 2018-09-08 21:39:27.846:WARN:oejd.WebAppDeployer:WebAppDeployer is deprecated. Use WebAppProvider
INFO   | jvm 1    | 2018/09/08 21:39:27 | 2018-09-08 21:39:27.898:INFO:oejs.Server:jetty-8.1.14.v20131031
INFO   | jvm 1    | 2018/09/08 21:39:27 | 2018-09-08 21:39:27.909:INFO:oejs.NCSARequestLog:Opened C:\Users\elvis\Applications\Artifactory\archiva\logs\request-20180909.log
INFO   | jvm 1    | 2018/09/08 21:39:28 | 2018-09-08 21:39:27.932:INFO:oejd.ContextDeployer:Deploy C:\Users\elvis\Applications\Artifactory\archiva\contexts\archiva.xml -> o.e.j.w.WebAppContext{/,null},C:\Users\elvis\Applications\Artifactory\archiva/apps/archiva
INFO   | jvm 1    | 2018/09/08 21:39:31 | 2018-09-08 21:39:31.881:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2018/09/08 21:39:32 | 2018-09-08 21:39:32.020:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2018/09/08 21:39:32 | 2018-09-08 21:39:32.865:INFO:/:Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/09/08 21:39:37 | Sep 08, 2018 9:39:37 PM org.apache.tomcat.jdbc.pool.ConnectionPool init
INFO   | jvm 1    | 2018/09/08 21:39:37 | WARNING: maxIdle is larger than maxActive, setting maxIdle to: 30
INFO   | jvm 1    | 2018/09/08 21:39:41 | 2018-09-08 21:39:40.965:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:9090
